Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
43047.58,24.55,15.41,25.08,1511.89
43047.63,24.43,20.63,32.63,1517.27
43047.67,24.99,20.01,32.09,1518.01
43047.71,25.02,19.99,32.09,1518.07
43047.75,25.07,19.85,31.92,1518.06
43047.79,25.05,19.51,31.4,1517.62
43047.83,24.99,19.42,31.24,1517.38
43047.88,24.93,15.86,25.95,1513.37
43047.92,24.87,15.22,24.96,1512.53
43047.96,24.84,16.75,27.22,1514.11
43048,24.58,14.04,23.05,1510.48
43048.04,24.46,11.9,19.76,1507.85
43048.08,24.58,13.79,22.67,1510.21
43048.13,24.46,14.44,23.59,1510.61
43048.17,24.32,16.95,27.22,1512.96
43048.21,24.26,19.07,30.27,1515.12
43048.25,24.11,20.28,31.93,1516.07
43048.29,24.09,20.18,31.76,1515.88
43048.33,24.14,19.74,31.17,1515.55
43048.38,24.32,18.04,28.82,1514.16
43048.42,24.09,14.46,23.44,1509.63
43048.46,24.23,13.75,22.45,1509.24
43048.5,24.64,14.05,23.09,1510.65
43048.54,24.81,14.49,23.84,1511.58
43048.58,24.9,16.68,27.15,1514.18
43048.62,25.07,16.48,26.95,1514.42
43048.67,25.13,16.86,27.55,1514.98
43048.71,24.81,19.91,31.83,1517.46
43048.75,24.87,20.12,32.18,1517.84
43048.79,24.84,20.19,32.27,1517.85
43048.83,24.9,18.52,29.87,1516.18
43048.87,24.87,19.25,30.91,1516.89
43048.92,24.75,16.69,27.09,1513.82
43048.96,24.78,17.61,28.46,1514.89
43049,24.03,16.57,26.52,1511.79
43049.04,23.71,16.35,26.03,1510.69
43049.08,23.53,16.54,26.21,1510.44
43049.12,23.5,15.86,25.21,1509.61
43049.17,23.33,16.16,25.56,1509.47
43049.21,23.01,15.42,24.33,1507.79
43049.25,22.8,14.82,23.36,1506.56
43049.29,22.54,14.61,22.93,1505.61
43049.33,22.16,15.4,23.87,1505.43
43049.37,21.78,15.22,23.42,1504.16
43049.42,21.69,15.18,23.32,1503.87
43049.46,21.26,15.13,23.04,1502.56
43049.5,21.87,14.45,22.39,1503.55
43049.54,22.57,14.25,22.42,1505.29
43049.58,23.12,14.29,22.74,1506.85
43049.62,23.1,14.36,22.83,1506.85
43049.67,23.04,14.32,22.74,1506.64
43049.71,22.95,14.25,22.6,1506.33
43049.75,23.04,15.6,24.6,1508.06
43049.79,22.89,16.53,25.86,1508.7
43049.83,22.83,17.17,26.73,1509.24
43049.87,22.69,17.22,26.73,1508.9
43049.92,22.6,17.4,26.92,1508.85
43049.96,22.22,16.26,25.11,1506.54
43050,21.87,16.19,24.83,1505.49
43050.04,21.78,16.51,25.23,1505.6
43050.08,21.43,16.24,24.68,1504.31
43050.12,21.05,14.87,22.58,1501.68
43050.17,20.88,15.4,23.24,1501.78
43050.21,20.41,16.52,24.53,1501.68
43050.25,21.02,18.15,27.08,1505.29
43050.29,21.14,20.04,29.7,1507.74
43050.33,21.05,20.73,30.57,1508.27
43050.37,21.08,20.53,30.33,1508.13
43050.42,19.94,17.92,26.15,1501.89
43050.46,19.91,16.89,24.75,1500.63
43050.5,20.88,17.84,26.57,1504.52
43050.54,21.31,17.7,26.62,1505.61
43050.58,22.25,17.73,27.19,1508.26
43050.62,23.01,17.99,27.99,1510.62
43050.67,22.1,17.79,27.19,1507.92
43050.71,22.13,17.09,26.24,1507.23
43050.75,21.72,17.12,26.06,1506.12
43050.79,21.69,17.68,26.81,1506.66
43050.83,21.61,17.95,27.13,1506.72
43050.87,21.52,17.7,26.75,1506.2
43050.92,21.46,17.73,26.75,1506.06
43050.96,21.31,17.93,26.94,1505.87
43051,21.2,17.84,26.75,1505.44
43051.04,21.08,17.48,26.19,1504.7
43051.08,20.99,17.42,26.07,1504.39
43051.12,20.73,17.27,25.71,1503.46
43051.17,20.61,17.36,25.78,1503.22
43051.21,20.73,17.1,25.48,1503.26
43051.25,20.61,17.41,25.83,1503.27
43051.29,20.67,18.6,27.48,1504.79
43051.33,20.58,19,27.96,1504.99
43051.37,20.32,18.51,27.16,1503.67
43051.42,20.58,20.19,29.56,1506.34
43051.46,20.55,19.54,28.67,1505.51
43051.5,20.93,18.44,27.41,1505.36
43051.54,21.49,18.19,27.4,1506.66
43051.58,21.58,18.11,27.33,1506.81
43051.62,22.07,18.28,27.87,1508.4
43051.67,22.45,18.89,28.93,1510.11
43051.71,21.96,18.59,28.22,1508.41
43051.75,22.19,18.28,27.93,1508.72
43051.79,21.72,19.21,28.94,1508.46
43051.83,21.55,19.68,29.46,1508.49
43051.87,21.4,20.79,30.88,1509.33
43051.92,21.31,21.46,31.72,1509.83
43051.96,21.29,21.54,31.81,1509.84
43052,21.34,21.38,31.64,1509.83
43052.04,21.31,21.4,31.64,1509.76
43052.08,21.31,20.72,30.72,1509
43052.12,21.34,19.39,28.95,1507.59
43052.17,21.17,18.89,28.16,1506.53
43052.21,21.11,19.94,29.55,1507.55
43052.25,20.88,19.88,29.33,1506.82
43052.29,20.93,20.2,29.78,1507.34
43052.33,20.82,19.58,28.88,1506.31
43052.37,20.73,19.95,29.33,1506.48
43052.42,20.88,20.69,30.41,1507.73
43052.46,20.93,21.98,32.16,1509.35
43052.5,20.99,22.22,32.51,1509.78
43052.54,21.17,21.6,31.81,1509.58
43052.58,21.96,20.76,31.2,1510.84
43052.62,22.89,20.99,32.12,1513.62
43052.67,23.04,21.04,32.3,1514.07
43052.71,23.07,20.65,31.77,1513.72
43052.75,22.69,20.53,31.36,1512.57
43052.79,22.66,19.67,30.14,1511.53
43052.83,22.57,19.71,30.14,1511.34
43052.87,22.31,19.89,30.22,1510.82
43052.92,22.1,20.69,31.2,1511.16
43052.96,21.96,21.13,31.71,1511.25
43053,21.81,21.33,31.88,1511.07
43053.04,21.64,21.3,31.72,1510.54
43053.08,21.52,20.86,31.05,1509.73
43053.12,20.93,20.55,30.25,1507.73
43053.17,20.61,20.77,30.34,1507.06
43053.21,20.55,20.79,30.34,1506.93
43053.25,19.99,20.9,30.11,1505.44
43053.29,20.26,18.15,26.64,1503.1
43053.33,20.08,18.57,27.1,1503.05
43053.37,20.02,19.26,27.97,1503.66
43053.42,20.2,20.97,30.34,1506.12
43053.46,20.32,21.59,31.24,1507.16
43053.5,20.41,21.93,31.74,1507.8
43053.54,20.49,22.22,32.17,1508.37
43053.58,20.7,22.17,32.26,1508.9
43053.62,21.31,21.52,31.81,1509.9
43053.67,21.84,21.45,32.06,1511.28
43053.71,22.02,21.49,32.23,1511.8
43053.75,21.81,21.46,32.06,1511.21
43053.79,21.34,21.32,31.55,1509.75
43053.83,21.08,19.51,28.95,1506.98
43053.87,20.99,19.83,29.32,1507.09
43053.92,20.7,20.25,29.71,1506.74
43053.96,20.55,20.98,30.58,1507.14
43054,20.38,21.76,31.49,1507.51
43054.04,20.14,21.5,30.99,1506.54
43054.08,19.67,21.12,30.2,1504.75
43054.12,19.32,20.89,29.66,1503.44
43054.17,18.58,20.8,29.07,1501.13
43054.21,17.89,20.75,28.58,1499
43054.25,17.5,20.72,28.3,1497.77
43054.29,17.83,20.72,28.51,1498.79
43054.33,16.64,19.31,26.02,1493.39
43054.37,17.03,19.77,26.83,1495.17
43054.42,16.79,19.79,26.7,1494.43
43054.46,17.48,20.18,27.61,1497.05
43054.5,17.62,20.16,27.67,1497.49
43054.54,17.92,20.39,28.15,1498.68
43054.58,18.04,20.5,28.36,1499.17
43054.62,18.16,20.22,28.08,1499.21
43054.67,18.69,20,28.14,1500.58
43054.71,19.49,19.78,28.33,1502.7
43054.75,19.29,19.61,27.99,1501.89
43054.79,19.38,19.35,27.71,1501.87
43054.83,18.78,19.02,26.92,1499.72
43054.87,18.69,19.26,27.19,1499.73
43054.92,18.72,19.15,27.06,1499.69
43054.96,18.58,19.79,27.79,1499.98
43055,18.72,20.21,28.42,1500.91
43055.04,18.75,20.48,28.78,1501.3
43055.08,18.75,20.53,28.85,1501.37
43055.12,18.72,20.55,28.85,1501.29
43055.17,17.36,19.55,26.76,1495.95
43055.21,17.36,19.2,26.32,1495.54
43055.25,17.03,18.68,25.48,1493.91
43055.29,16.61,18.61,25.14,1492.48
43055.33,16.27,18.58,24.92,1491.39
43055.37,16.7,17.98,24.42,1492.04
43055.42,16.88,18.16,24.75,1492.82
43055.46,17.56,19.35,26.63,1496.37
43055.5,18.04,20.44,28.29,1499.1
43055.54,18.07,20.88,28.86,1499.7
43055.58,18.22,21.04,29.15,1500.34
43055.62,18.25,21.14,29.3,1500.55
43055.67,18.4,21.18,29.45,1501.04
43055.71,18.93,20.56,28.99,1501.93
43055.75,18.93,20.05,28.34,1501.35
43055.79,18.81,19.78,27.93,1500.68
43055.83,18.64,19.55,27.52,1499.88
43055.87,18.81,19.84,27.99,1500.74
43055.92,18.64,20.14,28.28,1500.56
43055.96,18.64,21.36,29.83,1501.96
43056,18.81,22.27,31.1,1503.54
43056.04,18.72,22.72,31.61,1503.79
43056.08,18.43,22.75,31.45,1502.94
43056.12,18.75,22.98,31.95,1504.17
43056.17,17.5,22.29,30.24,1499.6
