County,Lake,Date,,,Station,TP (µg/L),TN (µg/L),CHL (µg/L),SECCHI (ft),SECCHI 2
Levy,Cedar Key-1,1/14/2017,Jan,2017,1,56,460,8,4,
Levy,Cedar Key-2,1/14/2017,Jan,2017,2,50,480,7,2.5,Bottom (2.5)
Levy,Cedar Key-4,1/14/2017,Jan,2017,4,19,510,10,3,
Levy,Cedar Key-1,2/20/2017,Feb,2017,1,25,250,14,4,
Levy,Cedar Key-2,2/20/2017,Feb,2017,2,36,280,11,3,
Levy,Cedar Key-4,2/20/2017,Feb,2017,4,19,520,13,3.5,
Levy,Cedar Key-1,3/26/2017,Mar,2017,1,65,500,14,3.5,
Levy,Cedar Key-2,3/26/2017,Mar,2017,2,40,380,12,2.5,
Levy,Cedar Key-4,3/26/2017,Mar,2017,4,43,370,8,4,
Levy,Cedar Keys Numeric Nutrient Criteria,6/7/2015,,,,60,790,10.9,,
Levy,Cedar Key-1,4/14/2017,Apr,2017,1,71,790,19,2.5,
Levy,Cedar Key-2,4/14/2017,Apr,2017,2,63,860,13,3,
Levy,Cedar Key-4,4/14/2017,Apr,2017,4,61,730,13,2.5,
Levy,Cedar Key-1,5/22/2017,May,2017,1,71,930,24,2,
Levy,Cedar Key-2,5/22/2017,May,2017,2,80,710,21,1.5,
Levy,Cedar Key-4,5/22/2017,May,2017,4,109,1300,31,2,
Levy,Cedar Key-1,6/24/2017,Jun,2017,1,86,660,16,2.5,
Levy,Cedar Key-2,6/24/2017,Jun,2017,2,57,670,18,2.5,
Levy,Cedar Key-4,6/24/2017,Jun,2017,4,101,950,33,2,
Levy,Cedar Key-1,7/28/2017,Jul,2017,1,75,720,27,2.5,
Levy,Cedar Key-2,7/28/2017,Jul,2017,2,86,830,27,2.5,
Levy,Cedar Key-4,7/28/2017,Jul,2017,4,99,980,38,2.5,
Levy,Cedar Key-1,8/30/2017,Aug,2017,1,79,780,34,3,
Levy,Cedar Key-2,8/30/2017,Aug,2017,2,71,730,46,2,
Levy,Cedar Key-4,8/30/2017,Aug,2017,4,98,940,40,2.5,
Levy,Cedar Key-1,9/24/2017,Sep,2017,1,73,690,31,3,
Levy,Cedar Key-2,9/24/2017,Sep,2017,2,123,1130,37,1.5,
Levy,Cedar Key-4,9/24/2017,Sep,2017,4,104,810,38,2,
