site,date,time,sun_code,tp_µgL,tn_µgL,chl_µgL,secchi_ft,Color (Pt-Co Units),do_mgl,temp_c,cond_msc,sal_ppt,depth_m,sensor_type
1,2017/01/02,12:00,1,77,1070,5,2,16,,,13.68,,,lakewatch
2,2017/01/02,12:30,1,51,670,10,2.3,9,,,28,,,lakewatch
3,2017/01/02,12:40,1,77,910,15,1.8,8,,,23,,,lakewatch
4,2017/01/02,13:00,1,101,880,14,1.5,8,,,32,,,lakewatch
5,2017/01/02,12:40,1,39,500,14,3,8,,,30,,,lakewatch
6,2017/01/02,11:30,1,93,1110,3,1.5,22,,,31.87,,,lakewatch
1,2017/02/05,11:00,4,110,1250,50,4,91,,,14,,,lakewatch
2,2017/02/05,11:45,4,66,830,4,4,99,,,10,,,lakewatch
3,2017/02/05,12:00,4,50,550,3,2.5,69,,,7,,,lakewatch
4,2017/02/05,12:10,4,55,710,7,2,66,,,13,,,lakewatch
5,2017/02/05,11:30,4,58,840,9,4,92,,,12,,,lakewatch
6,2017/02/05,11:15,4,60,670,9,2,64,,,12,,,lakewatch
1,2017/03/06,12:00,1,29,410,3,3.5,18,,,38,,,lakewatch
2,2017/03/06,12:20,1,27,400,5,3.3,15,,,33,,,lakewatch
3,2017/03/06,12:30,1,30,390,2,2.8,15,,,35,,,lakewatch
4,2017/03/06,11:30,1,25,400,5,3.5,14,,,31,,,lakewatch
5,2017/03/06,12:15,1,18,310,2,4,12,,,27,,,lakewatch
6,2017/03/06,12:45,1,25,390,1,2.3,14,,,33,,,lakewatch
1,2017/04/02,9:30,1,37,690,5,2.8,18,,,9,,,lakewatch
2,2017/04/02,9:15,1,43,940,7,2,27,,,13,,,lakewatch
3,2017/04/02,8:30,1,44,830,8,0.8,20,,,11,,,lakewatch
4,2017/04/02,8:45,1,38,800,7,2,20,,,11,,,lakewatch
5,2017/04/02,9:30,1,42,1010,12,1.5,28,,,14,,,lakewatch
6,2017/04/02,9:45,1,33,590,4,1.5,17,,,9,,,lakewatch
1,2017/05/01,9:30,1,49,770,4,2,11,,,21,,,lakewatch
2,2017/05/01,10:00,1,38,470,3,2.8,10,,,22,,,lakewatch
3,2017/05/01,10:30,1,53,610,16,3,12,,,48,,,lakewatch
4,2017/05/01,10:45,1,33,490,13,2,14,,,17,,,lakewatch
5,2017/05/01,10:15,1,35,530,9,4.3,14,,,16,,,lakewatch
6,2017/05/01,9:45,1,34,480,4,4.5,11,,,5,,,lakewatch
1,2017/06/03,12:55,2,38,640,10,4,9,,,14,,,lakewatch
2,2017/06/03,13:10,2,38,470,19,4.5,9,,,15,,,lakewatch
3,2017/06/03,12:00,5,49,550,30,2.5,10,,,19,,,lakewatch
4,2017/06/03,12:15,5,46,510,28,4,9,,,22,,,lakewatch
5,2017/06/03,12:30,4,34,380,20,4.5,6,,,18,,,lakewatch
6,2017/06/03,12:40,4,33,470,13,3.3,8,,,14,,,lakewatch
1,2017/07/05,10:00,1,78,920,7,2,65,,,5,,,lakewatch
2,2017/07/05,,1,92,680,23,2,39,,,11,,,lakewatch
3,2017/07/05,9:00,1,79,740,62,2,20,,,21,,,lakewatch
4,2017/07/05,9:15,1,64,710,48,2,26,,,20,,,lakewatch
5,2017/07/05,9:30,1,96,860,59,2,31,,,20,,,lakewatch
6,2017/07/05,9:40,1,89,690,20,2.3,40,,,11,,,lakewatch
1,2017/07/31,,,73,730,7,2,22,,,12,,,lakewatch
2,2017/07/31,,,76,670,7,1.5,26,,,15,,,lakewatch
3,2017/07/31,,,75,740,5,2,29,,,13,,,lakewatch
4,2017/07/31,,,69,700,6,2,28,,,17,,,lakewatch
5,2017/07/31,,,60,590,6,2.8,22,,,14,,,lakewatch
6,2017/07/31,,,67,730,3,2.5,28,,,18,,,lakewatch
1,2017/08/27,,,83,670,4,1.5,76,,,8,,,lakewatch
2,2017/08/27,,,77,630,15,3,49,,,18,,,lakewatch
3,2017/08/27,,,66,600,9,3.3,41,,,20,,,lakewatch
4,2017/08/27,,,79,630,17,,43,,,21,,,lakewatch
5,2017/08/27,,,72,610,9,2.8,46,,,18,,,lakewatch
6,2017/08/27,,,81,720,2,1.8,85,,,8,,,lakewatch
1,2017/09/29,,,88,690,18,2.5,83,,,27,,,lakewatch
2,2017/09/29,,,71,590,6,2,76,,,25,,,lakewatch
3,2017/09/29,,,73,610,12,3,94,,,29,,,lakewatch
4,2017/09/29,,,56,590,15,3,81,,,27,,,lakewatch
5,2017/09/29,,,71,650,15,2.3,86,,,28,,,lakewatch
6,2017/09/29,,,61,610,16,2,77,,,26,,,lakewatch
1,2017/10/26,,,64,730,7,1.8,92,,,7,,,lakewatch
2,2017/10/26,,,80,930,18,2.8,105,,,15,,,lakewatch
3,2017/10/26,,,87,930,25,2.8,95,,,17,,,lakewatch
4,2017/10/26,,,82,940,18,1,85,,,14,,,lakewatch
5,2017/10/26,,,64,790,12,1,83,,,12,,,lakewatch
6,2017/10/26,,,56,720,4,2,83,,,7,,,lakewatch
1,2017/12/01,,,47,710,19,,21,,,20,,,lakewatch
2,2017/12/01,,,44,520,29,4.3,14,,,31,,,lakewatch
3,2017/12/01,,,41,450,12,4.5,13,,,34,,,lakewatch
4,2017/12/01,,,43,500,30,2.5,14,,,30,,,lakewatch
5,2017/12/01,,,40,500,44,4,15,,,28,,,lakewatch
6,2017/12/01,,,35,650,30,3.5,25,,,14,,,lakewatch
1,2018/03/16,13:05,,,,,,,11.85,15.9,23.21,17.4,,ysi
2,2018/03/16,13:54,,,,,,,16.06,15.5,25.52,19.4,,ysi
3,2018/03/16,10:30,,,,,,,13.27,15,21.36,16.2,,ysi
4,2018/03/16,10:05,,,,,,,11.66,14.9,21.3,16.2,,ysi
5,2018/03/16,13:40,,,,,,,10.84,15.4,26.25,20.2,,ysi
6,2018/03/16,13:15,,,,,,,19.44,15.6,24.3,18.4,,ysi
7,2018/03/16,12:45,,,,,,,15.42,16.3,15.84,11.3,,ysi
8,2018/03/16,12:25,,,,,,,12.94,15.7,16.01,11.7,,ysi
9,2018/03/16,10:45,,,,,,,15.38,14.7,21.11,16.1,,ysi
sea_bird,2018/03/16,14:00,,,,,,,12.01,15.9,25.25,19,,ysi
6,2018/04/17,9:00,,,,,,,16.03,20.4,0.4239,0.2,0.65,ysi
1,2018/04/17,9:37,,,,,,,13.6,20.8,0.3836,0.2,0.38,ysi
5,2018/04/17,10:00,,,,,,,14.46,18.4,10.15,7,0.82,ysi
3,2018/04/17,10:49,,,,,,,15.55,17.8,12.64,7.3,0.95,ysi
4,2018/04/17,11:00,,,,,,,13.45,18.7,12.58,9.3,0.8,ysi
9,2018/04/17,11:19,,,,,,,14.31,18,13.8,9.5,0.88,ysi
2,2018/04/17,11:34,,,,,,,10.88,19.2,23.57,16.5,1.3,ysi
8,2018/04/17,11:42,,,,,,,14.05,19,9.85,6.3,0.92,ysi
7,2018/04/17,12:12,,,,,,,13.17,20.4,1.73,1,1.18,ysi
4,2018/04/30,8:19,,,,,,,13.2,22.4,16.59,10.3,0.4572,ysi
5,2018/04/30,8:45,,,,,,,12.47,22.6,9.01,5.3,0.609,ysi
6,2018/04/30,9:10,,,,,,,12.54,23.3,0.49,0.2,0.609,ysi
1,2018/04/30,12:30,,,,,,,12.72,23.8,0.4377,0.2,0.3048,ysi
7,2018/04/30,9:55,,,,,,,11.86,23.3,2.473,1.3,0.762,ysi
8,2018/04/30,10:15,,,,,,,12.5,22.5,8.14,4.8,0.609,ysi
2,2018/04/30,10:30,,,,,,,11.9,23.2,16.24,9.9,0.9144,ysi
3,2018/04/30,10:48,,,,,,,13.89,23.1,17.73,10.9,1.2192,ysi
9,2018/04/30,11:06,,,,,,,12.3,23.2,17.37,10.7,1.2192,ysi
