"","DateTime_Serial","Pressure","Temperature","Conductivity","Date","Salinity","Site"
"1",42958.54,1139.083,30.977,34.096,2017-08-11 08:57:36,18.8606412486074,"1"
"2",42958.58,1159.208,31.37,35.236,2017-08-11 09:55:12,19.403624095915,"1"
"3",42958.63,1180.967,31.347,33.716,2017-08-11 11:07:11,18.4911179335216,"1"
"4",42958.67,1183.65,31.493,27.688,2017-08-11 12:04:47,14.8482348867013,"1"
"5",42958.71,1179.683,31.51,30.724,2017-08-11 13:02:24,16.6390306248628,"1"
"6",42958.75,1175.892,31.857,29.452,2017-08-11 14:00:00,15.7744818943806,"1"
"7",42958.79,1153.142,31.98,25.16,2017-08-11 14:57:36,13.2417289947467,"1"
"8",42958.83,1131.675,32.31,20.884,2017-08-11 15:55:12,10.7356949853871,"1"
"9",42958.88,1108.05,31.493,13.128,2017-08-11 17:07:11,6.59488238458008,"1"
"10",42958.92,1091.308,30.367,5.612,2017-08-11 18:04:47,2.71072489622986,"1"
"11",42958.96,1081.975,29.273,1.328,2017-08-11 19:02:24,0.606723699990786,"1"
"12",42959,1085.825,29.03,0.848,2017-08-11 20:00:00,0.383100082935935,"1"
"13",42959.04,1107.875,28.98,1.264,2017-08-11 20:57:36,0.579708168816886,"1"
"14",42959.08,1134.3,30.45,15.68,2017-08-11 21:55:12,8.16025452434272,"1"
"15",42959.13,1157.575,30.993,26.108,2017-08-11 23:07:11,14.0625780903794,"1"
"16",42959.17,1172.567,30.687,31.992,2017-08-12 00:04:47,17.6858166883523,"1"
"17",42959.21,1180.15,30.507,32.532,2017-08-12 01:02:24,18.0804700599768,"1"
"18",42959.25,1175.017,30.51,32.06,2017-08-12 02:00:00,17.7907926980069,"1"
"19",42959.29,1157.05,30.527,31.088,2017-08-12 02:57:36,17.1923272058143,"1"
"20",42959.33,1136.925,30.323,24.132,2017-08-12 03:55:12,13.0780786164833,"1"
"21",42959.38,1119.25,29.98,18.932,2017-08-12 05:07:11,10.1081660118714,"1"
"22",42959.42,1098.192,29.097,4.356,2017-08-12 06:04:47,2.12408940215045,"1"
"23",42959.46,1090.025,29.187,0.96,2017-08-12 07:02:24,0.434059325110662,"1"
"24",42959.5,1095.158,29.693,0.76,2017-08-12 08:00:00,0.337882382639402,"1"
"25",42959.54,1113.183,31.21,2.196,2017-08-12 08:57:36,0.988052839866624,"1"
"26",42959.58,1135.758,31.813,12.148,2017-08-12 09:55:12,6.02697688939168,"1"
"27",42959.63,1160.9,33,19.004,2017-08-12 11:07:11,9.55853617073605,"1"
"28",42959.67,1183.183,33.19,26.6,2017-08-12 12:04:47,13.7428630817672,"1"
"29",42959.71,1186.917,31.973,34.54,2017-08-12 13:02:24,18.7542567923248,"1"
"30",42959.75,1179.333,31.803,37.128,2017-08-12 14:00:00,20.3803143651452,"1"
