site,date,time,utc_time,sun_code,tp_µgL,tn_µgL,chl_µgL,secchi_ft,Color (Pt-Co Units),do_mgl,temp_c,cond_msc,sal_ppt,depth_m,sensor_type
1,1/2/2017,12:00:00 PM,16:00,1,77,1070,5,2,16,,,13.68,,,lakewatch
2,1/2/2017,12:30:00 PM,16:30,1,51,670,10,2.3,9,,,28,,,lakewatch
3,1/2/2017,12:40:00 PM,16:40,1,77,910,15,1.8,8,,,23,,,lakewatch
4,1/2/2017,1:00:00 PM,17:00,1,101,880,14,1.5,8,,,32,,,lakewatch
5,1/2/2017,12:40:00 PM,16:40,1,39,500,14,3,8,,,30,,,lakewatch
6,1/2/2017,11:30:00 AM,15:30,1,93,1110,3,1.5,22,,,31.87,,,lakewatch
1,2/5/2017,11:00:00 AM,15:00,4,110,1250,50,4,91,,,14,,,lakewatch
2,2/5/2017,11:45:00 AM,15:45,4,66,830,4,4,99,,,10,,,lakewatch
3,2/5/2017,12:00:00 PM,16:00,4,50,550,3,2.5,69,,,7,,,lakewatch
4,2/5/2017,12:10:00 PM,16:10,4,55,710,7,2,66,,,13,,,lakewatch
5,2/5/2017,11:30:00 AM,15:30,4,58,840,9,4,92,,,12,,,lakewatch
6,2/5/2017,11:15:00 AM,15:15,4,60,670,9,2,64,,,12,,,lakewatch
1,3/6/2017,12:00:00 PM,16:00,1,29,410,3,3.5,18,,,38,,,lakewatch
2,3/6/2017,12:20:00 PM,16:20,1,27,400,5,3.3,15,,,33,,,lakewatch
3,3/6/2017,12:30:00 PM,16:30,1,30,390,2,2.8,15,,,35,,,lakewatch
4,3/6/2017,11:30:00 AM,15:30,1,25,400,5,3.5,14,,,31,,,lakewatch
5,3/6/2017,12:15:00 PM,16:15,1,18,310,2,4,12,,,27,,,lakewatch
6,3/6/2017,12:45:00 PM,16:45,1,25,390,1,2.3,14,,,33,,,lakewatch
1,4/2/2017,9:30:00 AM,13:30,1,37,690,5,2.8,18,,,9,,,lakewatch
2,4/2/2017,9:15:00 AM,13:15,1,43,940,7,2,27,,,13,,,lakewatch
3,4/2/2017,8:30:00 AM,12:30,1,44,830,8,0.8,20,,,11,,,lakewatch
4,4/2/2017,8:45:00 AM,12:45,1,38,800,7,2,20,,,11,,,lakewatch
5,4/2/2017,9:30:00 AM,13:30,1,42,1010,12,1.5,28,,,14,,,lakewatch
6,4/2/2017,9:45:00 AM,13:45,1,33,590,4,1.5,17,,,9,,,lakewatch
1,5/1/2017,9:30:00 AM,13:30,1,49,770,4,2,11,,,21,,,lakewatch
2,5/1/2017,10:00:00 AM,14:00,1,38,470,3,2.8,10,,,22,,,lakewatch
3,5/1/2017,10:30:00 AM,14:30,1,53,610,16,3,12,,,48,,,lakewatch
4,5/1/2017,10:45:00 AM,14:45,1,33,490,13,2,14,,,17,,,lakewatch
5,5/1/2017,10:15:00 AM,14:15,1,35,530,9,4.3,14,,,16,,,lakewatch
6,5/1/2017,9:45:00 AM,13:45,1,34,480,4,4.5,11,,,5,,,lakewatch
1,6/3/2017,12:55:00 PM,16:55,2,38,640,10,4,9,,,14,,,lakewatch
2,6/3/2017,1:10:00 PM,17:10,2,38,470,19,4.5,9,,,15,,,lakewatch
3,6/3/2017,12:00:00 PM,16:00,5,49,550,30,2.5,10,,,19,,,lakewatch
4,6/3/2017,12:15:00 PM,16:15,5,46,510,28,4,9,,,22,,,lakewatch
5,6/3/2017,12:30:00 PM,16:30,4,34,380,20,4.5,6,,,18,,,lakewatch
6,6/3/2017,12:40:00 PM,16:40,4,33,470,13,3.3,8,,,14,,,lakewatch
1,7/5/2017,10:00:00 AM,14:00,1,78,920,7,2,65,,,5,,,lakewatch
2,7/5/2017,,,1,92,680,23,2,39,,,11,,,lakewatch
3,7/5/2017,9:00:00 AM,13:00,1,79,740,62,2,20,,,21,,,lakewatch
4,7/5/2017,9:15:00 AM,13:15,1,64,710,48,2,26,,,20,,,lakewatch
5,7/5/2017,9:30:00 AM,13:30,1,96,860,59,2,31,,,20,,,lakewatch
6,7/5/2017,9:40:00 AM,13:40,1,89,690,20,2.3,40,,,11,,,lakewatch
1,7/31/2017,,,,73,730,7,2,22,,,12,,,lakewatch
2,7/31/2017,,,,76,670,7,1.5,26,,,15,,,lakewatch
3,7/31/2017,,,,75,740,5,2,29,,,13,,,lakewatch
4,7/31/2017,,,,69,700,6,2,28,,,17,,,lakewatch
5,7/31/2017,,,,60,590,6,2.8,22,,,14,,,lakewatch
6,7/31/2017,,,,67,730,3,2.5,28,,,18,,,lakewatch
1,8/27/2017,,,,83,670,4,1.5,76,,,8,,,lakewatch
2,8/27/2017,,,,77,630,15,3,49,,,18,,,lakewatch
3,8/27/2017,,,,66,600,9,3.3,41,,,20,,,lakewatch
4,8/27/2017,,,,79,630,17,,43,,,21,,,lakewatch
