"","Site","Date","Time_org","Time_UTC","Sun_code","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","DO","Temperature","Conductivity","Salinity","Depth","Sensor_Type"
"1","1",2017-01-02,"12:00:00 PM","16:00",1,77,1070,5,0.609756097560976,16,NA,NA,13.68,NA,NA,"lakewatch"
"2","2",2017-01-02,"12:30:00 PM","16:30",1,51,670,10,0.701219512195122,9,NA,NA,28,NA,NA,"lakewatch"
"3","3",2017-01-02,"12:40:00 PM","16:40",1,77,910,15,0.548780487804878,8,NA,NA,23,NA,NA,"lakewatch"
"4","4",2017-01-02,"1:00:00 PM","17:00",1,101,880,14,0.457317073170732,8,NA,NA,32,NA,NA,"lakewatch"
"5","5",2017-01-02,"12:40:00 PM","16:40",1,39,500,14,0.914634146341463,8,NA,NA,30,NA,NA,"lakewatch"
"6","6",2017-01-02,"11:30:00 AM","15:30",1,93,1110,3,0.457317073170732,22,NA,NA,31.87,NA,NA,"lakewatch"
"7","1",2017-02-05,"11:00:00 AM","15:00",4,110,1250,50,1.21951219512195,91,NA,NA,14,NA,NA,"lakewatch"
"8","2",2017-02-05,"11:45:00 AM","15:45",4,66,830,4,1.21951219512195,99,NA,NA,10,NA,NA,"lakewatch"
"9","3",2017-02-05,"12:00:00 PM","16:00",4,50,550,3,0.76219512195122,69,NA,NA,7,NA,NA,"lakewatch"
"10","4",2017-02-05,"12:10:00 PM","16:10",4,55,710,7,0.609756097560976,66,NA,NA,13,NA,NA,"lakewatch"
"11","5",2017-02-05,"11:30:00 AM","15:30",4,58,840,9,1.21951219512195,92,NA,NA,12,NA,NA,"lakewatch"
"12","6",2017-02-05,"11:15:00 AM","15:15",4,60,670,9,0.609756097560976,64,NA,NA,12,NA,NA,"lakewatch"
"13","1",2017-03-06,"12:00:00 PM","16:00",1,29,410,3,1.06707317073171,18,NA,NA,38,NA,NA,"lakewatch"
"14","2",2017-03-06,"12:20:00 PM","16:20",1,27,400,5,1.00609756097561,15,NA,NA,33,NA,NA,"lakewatch"
"15","3",2017-03-06,"12:30:00 PM","16:30",1,30,390,2,0.853658536585366,15,NA,NA,35,NA,NA,"lakewatch"
"16","4",2017-03-06,"11:30:00 AM","15:30",1,25,400,5,1.06707317073171,14,NA,NA,31,NA,NA,"lakewatch"
"17","5",2017-03-06,"12:15:00 PM","16:15",1,18,310,2,1.21951219512195,12,NA,NA,27,NA,NA,"lakewatch"
"18","6",2017-03-06,"12:45:00 PM","16:45",1,25,390,1,0.701219512195122,14,NA,NA,33,NA,NA,"lakewatch"
"19","1",2017-04-02,"9:30:00 AM","13:30",1,37,690,5,0.853658536585366,18,NA,NA,9,NA,NA,"lakewatch"
"20","2",2017-04-02,"9:15:00 AM","13:15",1,43,940,7,0.609756097560976,27,NA,NA,13,NA,NA,"lakewatch"
"21","3",2017-04-02,"8:30:00 AM","12:30",1,44,830,8,0.24390243902439,20,NA,NA,11,NA,NA,"lakewatch"
"22","4",2017-04-02,"8:45:00 AM","12:45",1,38,800,7,0.609756097560976,20,NA,NA,11,NA,NA,"lakewatch"
"23","5",2017-04-02,"9:30:00 AM","13:30",1,42,1010,12,0.457317073170732,28,NA,NA,14,NA,NA,"lakewatch"
"24","6",2017-04-02,"9:45:00 AM","13:45",1,33,590,4,0.457317073170732,17,NA,NA,9,NA,NA,"lakewatch"
"25","1",2017-05-01,"9:30:00 AM","13:30",1,49,770,4,0.609756097560976,11,NA,NA,21,NA,NA,"lakewatch"
"26","2",2017-05-01,"10:00:00 AM","14:00",1,38,470,3,0.853658536585366,10,NA,NA,22,NA,NA,"lakewatch"
"27","3",2017-05-01,"10:30:00 AM","14:30",1,53,610,16,0.914634146341463,12,NA,NA,48,NA,NA,"lakewatch"
"28","4",2017-05-01,"10:45:00 AM","14:45",1,33,490,13,0.609756097560976,14,NA,NA,17,NA,NA,"lakewatch"
"29","5",2017-05-01,"10:15:00 AM","14:15",1,35,530,9,1.3109756097561,14,NA,NA,16,NA,NA,"lakewatch"
"30","6",2017-05-01,"9:45:00 AM","13:45",1,34,480,4,1.3719512195122,11,NA,NA,5,NA,NA,"lakewatch"
"31","1",2017-06-03,"12:55:00 PM","16:55",2,38,640,10,1.21951219512195,9,NA,NA,14,NA,NA,"lakewatch"
"32","2",2017-06-03,"1:10:00 PM","17:10",2,38,470,19,1.3719512195122,9,NA,NA,15,NA,NA,"lakewatch"
"33","3",2017-06-03,"12:00:00 PM","16:00",5,49,550,30,0.76219512195122,10,NA,NA,19,NA,NA,"lakewatch"
"34","4",2017-06-03,"12:15:00 PM","16:15",5,46,510,28,1.21951219512195,9,NA,NA,22,NA,NA,"lakewatch"
"35","5",2017-06-03,"12:30:00 PM","16:30",4,34,380,20,1.3719512195122,6,NA,NA,18,NA,NA,"lakewatch"
"36","6",2017-06-03,"12:40:00 PM","16:40",4,33,470,13,1.00609756097561,8,NA,NA,14,NA,NA,"lakewatch"
"37","1",2017-07-05,"10:00:00 AM","14:00",1,78,920,7,0.609756097560976,65,NA,NA,5,NA,NA,"lakewatch"
"38","2",2017-07-05,"","",1,92,680,23,0.609756097560976,39,NA,NA,11,NA,NA,"lakewatch"
"39","3",2017-07-05,"9:00:00 AM","13:00",1,79,740,62,0.609756097560976,20,NA,NA,21,NA,NA,"lakewatch"
"40","4",2017-07-05,"9:15:00 AM","13:15",1,64,710,48,0.609756097560976,26,NA,NA,20,NA,NA,"lakewatch"
